benchmark,input,input_size_bytes,mode,engine,width,cpus,trial,elapsed_sec,exit_status
wf,10M.txt,10485770,pash_1core_1thread,pash,1,"0",3,5.819543,0
wf,10M.txt,10485770,pash_1core_2smt_threads,pash,2,"0,24",3,6.117294,0
wf,10M.txt,10485770,pash_2cores_1thread_each,pash,2,"0,1",3,4.203828,0
wf,100M.txt,104857700,bash_1core_1thread,bash,1,"0",3,34.284155,0
wf,100M.txt,104857700,pash_1core_1thread,pash,1,"0",3,38.295828,0
wf,100M.txt,104857700,pash_1core_2smt_threads,pash,2,"0,24",3,40.551365,0
wf,100M.txt,104857700,pash_2cores_1thread_each,pash,2,"0,1",3,22.917107,0
wf,1G.txt,1073742848,bash_1core_1thread,bash,1,"0",3,359.078939,0
wf,1G.txt,1073742848,pash_1core_1thread,pash,1,"0",3,381.120272,0
wf,1G.txt,1073742848,pash_1core_2smt_threads,pash,2,"0,24",3,411.191989,0
wf,1G.txt,1073742848,pash_2cores_1thread_each,pash,2,"0,1",3,224.279714,0
sort,1M.txt,1048577,bash_1core_1thread,bash,1,"0",4,0.098946,0
sort,1M.txt,1048577,pash_1core_1thread,pash,1,"0",4,2.536582,0
sort,1M.txt,1048577,pash_1core_2smt_threads,pash,2,"0,24",4,2.018633,0
sort,1M.txt,1048577,pash_2cores_1thread_each,pash,2,"0,1",4,2.167190,0
sort,10M.txt,10485770,bash_1core_1thread,bash,1,"0",4,0.728688,0
sort,10M.txt,10485770,pash_1core_1thread,pash,1,"0",4,2.985066,0
sort,10M.txt,10485770,pash_1core_2smt_threads,pash,2,"0,24",4,2.713230,0
sort,10M.txt,10485770,pash_2cores_1thread_each,pash,2,"0,1",4,2.585319,0
sort,100M.txt,104857700,bash_1core_1thread,bash,1,"0",4,7.488701,0
sort,100M.txt,104857700,pash_1core_1thread,pash,1,"0",4,9.799346,0
sort,100M.txt,104857700,pash_1core_2smt_threads,pash,2,"0,24",4,8.542278,0
sort,100M.txt,104857700,pash_2cores_1thread_each,pash,2,"0,1",4,6.589751,0
sort,1G.txt,1073742848,bash_1core_1thread,bash,1,"0",4,80.304991,0
sort,1G.txt,1073742848,pash_1core_1thread,pash,1,"0",4,85.403129,0
sort,1G.txt,1073742848,pash_1core_2smt_threads,pash,2,"0,24",4,72.276699,0
sort,1G.txt,1073742848,pash_2cores_1thread_each,pash,2,"0,1",4,51.507857,0
sort-sort,1M.txt,1048577,bash_1core_1thread,bash,1,"0",4,0.329595,0
sort-sort,1M.txt,1048577,pash_1core_1thread,pash,1,"0",4,2.279376,0
sort-sort,1M.txt,1048577,pash_1core_2smt_threads,pash,2,"0,24",4,2.290518,0
sort-sort,1M.txt,1048577,pash_2cores_1thread_each,pash,2,"0,1",4,2.349829,0
sort-sort,10M.txt,10485770,bash_1core_1thread,bash,1,"0",4,1.205353,0
sort-sort,10M.txt,10485770,pash_1core_1thread,pash,1,"0",4,3.517171,0
sort-sort,10M.txt,10485770,pash_1core_2smt_threads,pash,2,"0,24",4,3.227872,0
sort-sort,10M.txt,10485770,pash_2cores_1thread_each,pash,2,"0,1",4,2.956734,0
sort-sort,100M.txt,104857700,bash_1core_1thread,bash,1,"0",4,11.261234,0
sort-sort,100M.txt,104857700,pash_1core_1thread,pash,1,"0",4,14.458165,0
sort-sort,100M.txt,104857700,pash_1core_2smt_threads,pash,2,"0,24",4,12.960739,0
sort-sort,100M.txt,104857700,pash_2cores_1thread_each,pash,2,"0,1",4,9.803451,0
sort-sort,1G.txt,1073742848,bash_1core_1thread,bash,1,"0",4,117.759515,0
sort-sort,1G.txt,1073742848,pash_1core_1thread,pash,1,"0",4,132.308988,0
sort-sort,1G.txt,1073742848,pash_1core_2smt_threads,pash,2,"0,24",4,114.181246,0
sort-sort,1G.txt,1073742848,pash_2cores_1thread_each,pash,2,"0,1",4,79.867400,0
spell,1M.txt,1048577,bash_1core_1thread,bash,1,"0",4,0.838362,0
spell,1M.txt,1048577,pash_1core_1thread,pash,1,"0",4,3.224062,0
spell,1M.txt,1048577,pash_1core_2smt_threads,pash,2,"0,24",4,2.783666,0
spell,1M.txt,1048577,pash_2cores_1thread_each,pash,2,"0,1",4,2.917613,0
spell,10M.txt,10485770,bash_1core_1thread,bash,1,"0",4,3.042135,0
spell,10M.txt,10485770,pash_1core_1thread,pash,1,"0",4,5.529830,0
spell,10M.txt,10485770,pash_1core_2smt_threads,pash,2,"0,24",4,5.508389,0
spell,10M.txt,10485770,pash_2cores_1thread_each,pash,2,"0,1",4,4.218994,0
spell,100M.txt,104857700,bash_1core_1thread,bash,1,"0",4,28.104362,0
spell,100M.txt,104857700,pash_1core_1thread,pash,1,"0",4,32.917555,0
spell,100M.txt,104857700,pash_1core_2smt_threads,pash,2,"0,24",4,34.348392,0
spell,100M.txt,104857700,pash_2cores_1thread_each,pash,2,"0,1",4,22.554886,0
spell,1G.txt,1073742848,bash_1core_1thread,bash,1,"0",4,296.364468,0
spell,1G.txt,1073742848,pash_1core_1thread,pash,1,"0",4,321.448962,0
spell,1G.txt,1073742848,pash_1core_2smt_threads,pash,2,"0,24",4,342.231192,0
spell,1G.txt,1073742848,pash_2cores_1thread_each,pash,2,"0,1",4,194.133785,0
wf,1M.txt,1048577,bash_1core_1thread,bash,1,"0",4,0.379258,0
wf,1M.txt,1048577,pash_1core_1thread,pash,1,"0",4,3.069198,0
wf,1M.txt,1048577,pash_1core_2smt_threads,pash,2,"0,24",4,2.606791,0
wf,1M.txt,1048577,pash_2cores_1thread_each,pash,2,"0,1",4,2.318245,0
wf,10M.txt,10485770,bash_1core_1thread,bash,1,"0",4,3.382525,0
wf,10M.txt,10485770,pash_1core_1thread,pash,1,"0",4,5.762568,0
wf,10M.txt,10485770,pash_1core_2smt_threads,pash,2,"0,24",4,5.868965,0
wf,10M.txt,10485770,pash_2cores_1thread_each,pash,2,"0,1",4,4.232297,0
wf,100M.txt,104857700,bash_1core_1thread,bash,1,"0",4,34.287518,0
wf,100M.txt,104857700,pash_1core_1thread,pash,1,"0",4,38.358382,0
wf,100M.txt,104857700,pash_1core_2smt_threads,pash,2,"0,24",4,40.263366,0
wf,100M.txt,104857700,pash_2cores_1thread_each,pash,2,"0,1",4,23.057731,0
wf,1G.txt,1073742848,bash_1core_1thread,bash,1,"0",4,359.987934,0
wf,1G.txt,1073742848,pash_1core_1thread,pash,1,"0",4,381.023922,0
wf,1G.txt,1073742848,pash_1core_2smt_threads,pash,2,"0,24",4,410.194959,0
wf,1G.txt,1073742848,pash_2cores_1thread_each,pash,2,"0,1",4,223.464447,0
sort,1M.txt,1048577,bash_1core_1thread,bash,1,"0",5,0.099928,0
sort,1M.txt,1048577,pash_1core_1thread,pash,1,"0",5,2.588164,0
sort,1M.txt,1048577,pash_1core_2smt_threads,pash,2,"0,24",5,2.130715,0
sort,1M.txt,1048577,pash_2cores_1thread_each,pash,2,"0,1",5,2.087107,0
sort,10M.txt,10485770,bash_1core_1thread,bash,1,"0",5,0.744097,0
sort,10M.txt,10485770,pash_1core_1thread,pash,1,"0",5,3.019073,0
sort,10M.txt,10485770,pash_1core_2smt_threads,pash,2,"0,24",5,2.664621,0
sort,10M.txt,10485770,pash_2cores_1thread_each,pash,2,"0,1",5,2.458689,0
sort,100M.txt,104857700,bash_1core_1thread,bash,1,"0",5,7.495783,0
sort,100M.txt,104857700,pash_1core_1thread,pash,1,"0",5,9.897630,0
sort,100M.txt,104857700,pash_1core_2smt_threads,pash,2,"0,24",5,8.417692,0
sort,100M.txt,104857700,pash_2cores_1thread_each,pash,2,"0,1",5,6.612654,0
sort,1G.txt,1073742848,bash_1core_1thread,bash,1,"0",5,80.339793,0
sort,1G.txt,1073742848,pash_1core_1thread,pash,1,"0",5,85.249341,0
sort,1G.txt,1073742848,pash_1core_2smt_threads,pash,2,"0,24",5,72.351463,0
sort,1G.txt,1073742848,pash_2cores_1thread_each,pash,2,"0,1",5,51.243812,0
sort-sort,1M.txt,1048577,bash_1core_1thread,bash,1,"0",5,0.350175,0
sort-sort,1M.txt,1048577,pash_1core_1thread,pash,1,"0",5,2.360389,0
sort-sort,1M.txt,1048577,pash_1core_2smt_threads,pash,2,"0,24",5,2.220811,0
sort-sort,1M.txt,1048577,pash_2cores_1thread_each,pash,2,"0,1",5,2.335959,0
sort-sort,10M.txt,10485770,bash_1core_1thread,bash,1,"0",5,1.120067,0
sort-sort,10M.txt,10485770,pash_1core_1thread,pash,1,"0",5,3.430120,0
sort-sort,10M.txt,10485770,pash_1core_2smt_threads,pash,2,"0,24",5,3.407349,0
sort-sort,10M.txt,10485770,pash_2cores_1thread_each,pash,2,"0,1",5,3.016113,0
sort-sort,100M.txt,104857700,bash_1core_1thread,bash,1,"0",5,11.239365,0
sort-sort,100M.txt,104857700,pash_1core_1thread,pash,1,"0",5,14.478841,0
sort-sort,100M.txt,104857700,pash_1core_2smt_threads,pash,2,"0,24",5,12.896690,0
sort-sort,100M.txt,104857700,pash_2cores_1thread_each,pash,2,"0,1",5,9.726980,0
sort-sort,1G.txt,1073742848,bash_1core_1thread,bash,1,"0",5,117.634183,0
sort-sort,1G.txt,1073742848,pash_1core_1thread,pash,1,"0",5,131.759410,0
sort-sort,1G.txt,1073742848,pash_1core_2smt_threads,pash,2,"0,24",5,113.541614,0
sort-sort,1G.txt,1073742848,pash_2cores_1thread_each,pash,2,"0,1",5,80.344140,0
spell,1M.txt,1048577,bash_1core_1thread,bash,1,"0",5,0.820198,0
spell,1M.txt,1048577,pash_1core_1thread,pash,1,"0",5,3.393622,0
spell,1M.txt,1048577,pash_1core_2smt_threads,pash,2,"0,24",5,2.782195,0
spell,1M.txt,1048577,pash_2cores_1thread_each,pash,2,"0,1",5,2.964964,0
spell,10M.txt,10485770,bash_1core_1thread,bash,1,"0",5,3.053822,0
spell,10M.txt,10485770,pash_1core_1thread,pash,1,"0",5,5.634766,0
spell,10M.txt,10485770,pash_1core_2smt_threads,pash,2,"0,24",5,5.678382,0
spell,10M.txt,10485770,pash_2cores_1thread_each,pash,2,"0,1",5,4.238956,0
spell,100M.txt,104857700,bash_1core_1thread,bash,1,"0",5,28.154209,0
spell,100M.txt,104857700,pash_1core_1thread,pash,1,"0",5,32.874906,0
spell,100M.txt,104857700,pash_1core_2smt_threads,pash,2,"0,24",5,33.817301,0
spell,100M.txt,104857700,pash_2cores_1thread_each,pash,2,"0,1",5,19.935982,0
spell,1G.txt,1073742848,bash_1core_1thread,bash,1,"0",5,294.590599,0
spell,1G.txt,1073742848,pash_1core_1thread,pash,1,"0",5,321.964982,0
spell,1G.txt,1073742848,pash_1core_2smt_threads,pash,2,"0,24",5,341.818217,0
spell,1G.txt,1073742848,pash_2cores_1thread_each,pash,2,"0,1",5,194.351867,0
wf,1M.txt,1048577,bash_1core_1thread,bash,1,"0",5,0.474124,0
wf,1M.txt,1048577,pash_1core_1thread,pash,1,"0",5,3.080658,0
wf,1M.txt,1048577,pash_1core_2smt_threads,pash,2,"0,24",5,2.624837,0
wf,1M.txt,1048577,pash_2cores_1thread_each,pash,2,"0,1",5,2.633603,0
wf,10M.txt,10485770,bash_1core_1thread,bash,1,"0",5,3.349676,0
wf,10M.txt,10485770,pash_1core_1thread,pash,1,"0",5,5.846931,0
wf,10M.txt,10485770,pash_1core_2smt_threads,pash,2,"0,24",5,5.858813,0
wf,10M.txt,10485770,pash_2cores_1thread_each,pash,2,"0,1",5,4.175812,0
wf,100M.txt,104857700,bash_1core_1thread,bash,1,"0",5,34.195446,0
wf,100M.txt,104857700,pash_1core_1thread,pash,1,"0",5,38.501419,0
wf,100M.txt,104857700,pash_1core_2smt_threads,pash,2,"0,24",5,40.271283,0
wf,100M.txt,104857700,pash_2cores_1thread_each,pash,2,"0,1",5,22.876088,0
wf,1G.txt,1073742848,bash_1core_1thread,bash,1,"0",5,360.153877,0
wf,1G.txt,1073742848,pash_1core_1thread,pash,1,"0",5,379.583067,0
wf,1G.txt,1073742848,pash_1core_2smt_threads,pash,2,"0,24",5,410.595974,0
wf,1G.txt,1073742848,pash_2cores_1thread_each,pash,2,"0,1",5,223.587707,0
bi-grams,1M.txt,1048577,bash_1core_1thread,bash,1,"0",1,0.680259,0
bi-grams,1M.txt,1048577,pash_1core_1thread,pash,1,"0",1,2.929220,0
bi-grams,1M.txt,1048577,pash_1core_2smt_threads,pash,2,"0,24",1,4.213187,0
bi-grams,1M.txt,1048577,pash_2cores_1thread_each,pash,2,"0,1",1,2.601492,0
bi-grams,10M.txt,10485770,bash_1core_1thread,bash,1,"0",1,5.443822,0
bi-grams,10M.txt,10485770,pash_1core_1thread,pash,1,"0",1,8.033902,0
bi-grams,10M.txt,10485770,pash_1core_2smt_threads,pash,2,"0,24",1,7.608378,0
bi-grams,10M.txt,10485770,pash_2cores_1thread_each,pash,2,"0,1",1,6.969869,0
bi-grams,100M.txt,104857700,bash_1core_1thread,bash,1,"0",1,53.331435,0
bi-grams,100M.txt,104857700,pash_1core_1thread,pash,1,"0",1,55.900340,0
bi-grams,100M.txt,104857700,pash_1core_2smt_threads,pash,2,"0,24",1,56.727240,0
bi-grams,100M.txt,104857700,pash_2cores_1thread_each,pash,2,"0,1",1,47.624990,0
bi-grams,1G.txt,1073742848,bash_1core_1thread,bash,1,"0",1,559.447704,0
bi-grams,1G.txt,1073742848,pash_1core_1thread,pash,1,"0",1,560.539750,0
bi-grams,1G.txt,1073742848,pash_1core_2smt_threads,pash,2,"0,24",1,559.990524,0
bi-grams,1G.txt,1073742848,pash_2cores_1thread_each,pash,2,"0,1",1,470.152302,0
diff,1M.txt,1048577,bash_1core_1thread,bash,1,"0",1,0.230200,0
diff,1M.txt,1048577,pash_1core_1thread,pash,1,"0",1,2.886383,0
diff,1M.txt,1048577,pash_1core_2smt_threads,pash,2,"0,24",1,2.243628,0
diff,1M.txt,1048577,pash_2cores_1thread_each,pash,2,"0,1",1,2.221628,0
diff,10M.txt,10485770,bash_1core_1thread,bash,1,"0",1,1.760817,0
diff,10M.txt,10485770,pash_1core_1thread,pash,1,"0",1,4.261620,0
diff,10M.txt,10485770,pash_1core_2smt_threads,pash,2,"0,24",1,3.604315,0
diff,10M.txt,10485770,pash_2cores_1thread_each,pash,2,"0,1",1,3.236414,0
diff,100M.txt,104857700,bash_1core_1thread,bash,1,"0",1,17.809155,0
diff,100M.txt,104857700,pash_1core_1thread,pash,1,"0",1,20.279638,0
diff,100M.txt,104857700,pash_1core_2smt_threads,pash,2,"0,24",1,17.023116,0
diff,100M.txt,104857700,pash_2cores_1thread_each,pash,2,"0,1",1,13.326646,0
diff,1G.txt,1073742848,bash_1core_1thread,bash,1,"0",1,189.287438,0
diff,1G.txt,1073742848,pash_1core_1thread,pash,1,"0",1,191.983521,0
diff,1G.txt,1073742848,pash_1core_2smt_threads,pash,2,"0,24",1,156.847381,0
diff,1G.txt,1073742848,pash_2cores_1thread_each,pash,2,"0,1",1,115.792978,0
nfa-regex,1M.txt,1048577,bash_1core_1thread,bash,1,"0",1,3.019165,0
nfa-regex,1M.txt,1048577,pash_1core_1thread,pash,1,"0",1,5.328201,0
nfa-regex,1M.txt,1048577,pash_1core_2smt_threads,pash,2,"0,24",1,4.618964,0
nfa-regex,1M.txt,1048577,pash_2cores_1thread_each,pash,2,"0,1",1,3.532656,0
nfa-regex,10M.txt,10485770,bash_1core_1thread,bash,1,"0",1,29.027861,0
nfa-regex,10M.txt,10485770,pash_1core_1thread,pash,1,"0",1,31.204887,0
nfa-regex,10M.txt,10485770,pash_1core_2smt_threads,pash,2,"0,24",1,28.737298,0
nfa-regex,10M.txt,10485770,pash_2cores_1thread_each,pash,2,"0,1",1,17.856522,0
nfa-regex,100M.txt,104857700,bash_1core_1thread,bash,1,"0",1,297.593863,0
nfa-regex,100M.txt,104857700,pash_1core_1thread,pash,1,"0",1,293.054306,0
nfa-regex,100M.txt,104857700,pash_1core_2smt_threads,pash,2,"0,24",1,267.107620,0
nfa-regex,100M.txt,104857700,pash_2cores_1thread_each,pash,2,"0,1",1,155.855785,0
